DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
07/10/2017,0:00,BROOKLYN,11232,40.657253,-74.00477,"(40.657253, -74.00477)",33 STREET                       ,3 AVENUE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3708352,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/10/2017,0:00,QUEENS,11434,40.68676,-73.78449,"(40.68676, -73.78449)",116 AVENUE                      ,BREWER BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3708603,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/10/2017,0:00,,,40.892963,-73.86101,"(40.892963, -73.86101)",EAST 231 STREET                 ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3708251,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/10/2017,0:00,,,40.777,-73.96164,"(40.777, -73.96164)",MADISON AVENUE                  ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Unspecified,,,,3709328,TAXI,SPORT UTILITY / STATION WAGON,,,
07/10/2017,0:00,,,40.75898,-73.99595,"(40.75898, -73.99595)",,,10 AVENUE                               ,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3708994,TAXI,TAXI,,,
07/10/2017,0:00,BRONX,10457,40.84084,-73.901566,"(40.84084, -73.901566)",,,1647      WASHINGTON AVENUE             ,1,0,1,0,0,0,0,0,Backing Unsafely,,,,,3708683,SPORT UTILITY / STATION WAGON,,,,
07/10/2017,0:00,BROOKLYN,11203,40.655754,-73.92403,"(40.655754, -73.92403)",EAST 57 STREET                  ,LENOX ROAD,,1,0,0,0,1,0,0,0,Unspecified,Unspecified,,,,3708863,SPORT UTILITY / STATION WAGON,BICYCLE,,,
07/10/2017,0:00,BROOKLYN,11236,40.63531,-73.9005,"(40.63531, -73.9005)",AVENUE L                        ,REMSEN AVENUE,,2,0,0,0,0,0,2,0,Unspecified,Unspecified,,,,3708308,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
07/10/2017,0:00,,,,,,RICHMOND TERRACE                ,VANPELT AVENUE,,2,0,1,0,0,0,1,0,Fell Asleep,,,,,3708542,,,,,
07/10/2017,0:10,,,40.73907,-73.84753,"(40.73907, -73.84753)",,,,3,0,0,0,0,0,3,0,Following Too Closely,Unspecified,,,,3710025,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/10/2017,0:15,,,40.668266,-73.84214,"(40.668266, -73.84214)",SOUTH CONDUIT AVENUE            ,CROSS BAY BOULEVARD,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3708846,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/10/2017,0:30,,,,,,GRAND CENTRAL PARKWAY           ,ASTORIA BOULEVARD SOUTH,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3708102,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/10/2017,0:40,STATEN ISLAND,10314,40.611786,-74.13014,"(40.611786, -74.13014)",,,21        PERRY AVENUE                  ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3708391,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/10/2017,0:45,,,40.595776,-73.98823,"(40.595776, -73.98823)",BENSON AVENUE                   ,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3708225,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/10/2017,0:50,MANHATTAN,10013,40.72084,-74.00066,"(40.72084, -74.00066)",BROADWAY                        ,GRAND STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3708448,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/10/2017,0:50,,,40.731983,-73.91912,"(40.731983, -73.91912)",,,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3709530,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
07/10/2017,10:00,QUEENS,11435,40.715214,-73.82294,"(40.715214, -73.82294)",,,135-32    COOLIDGE AVENUE               ,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3708332,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
07/10/2017,10:00,,,40.747677,-73.79659,"(40.747677, -73.79659)",171 STREET                      ,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3708092,PICK-UP TRUCK,,,,
07/10/2017,10:00,,,40.709198,-73.991776,"(40.709198, -73.991776)",,,,0,0,0,0,0,0,0,0,Obstruction/Debris,Unspecified,,,,3708747,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
