DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
06/20/2017,0:00,BROOKLYN,11201,40.693733,-73.990456,"(40.693733, -73.990456)",COURT STREET                    ,MONTAGUE STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3695420,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/20/2017,0:00,BROOKLYN,11207,40.660736,-73.88361,"(40.660736, -73.88361)",,,797       SCHENCK AVENUE                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3695021,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
06/20/2017,0:00,BROOKLYN,11236,40.637367,-73.90906,"(40.637367, -73.90906)",,,923       EAST 85 STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3695187,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
06/20/2017,0:00,MANHATTAN,10128,40.78519,-73.95143,"(40.78519, -73.95143)",LEXINGTON AVENUE                ,EAST 95 STREET,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Driver Inexperience,,,,3695755,TAXI,TAXI,,,
06/20/2017,0:00,,,,,,DRAPER PLACE                    ,RICHMOND AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,,,,,3694943,SPORT UTILITY / STATION WAGON,,,,
06/20/2017,0:00,,,40.81934,-73.93012,"(40.81934, -73.93012)",EAST 149 STREET                 ,,,0,0,0,0,0,0,0,0,Following Too Closely,Unspecified,,,,3695657,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
06/20/2017,0:00,,,40.829185,-73.928764,"(40.829185, -73.928764)",EAST 161 STREET                 ,MACOMBS DAM BRIDGE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3695954,PASSENGER VEHICLE,,,,
06/20/2017,0:00,BRONX,10452,40.843365,-73.91545,"(40.843365, -73.91545)",JEROME AVENUE                   ,GOBLE PLACE,,1,0,0,0,0,0,1,0,Unsafe Lane Changing,Unspecified,,,,3695690,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/20/2017,0:00,,,40.598373,-73.987946,"(40.598373, -73.987946)",86 STREET                       ,,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3695311,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,,
06/20/2017,0:05,MANHATTAN,10039,40.821636,-73.93909,"(40.821636, -73.93909)",7 AVENUE                        ,WEST 145 STREET,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3694636,PASSENGER VEHICLE,BICYCLE,,,
06/20/2017,0:10,BRONX,10458,40.854607,-73.88134,"(40.854607, -73.88134)",,,2431      SOUTHERN BOULEVARD            ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3694443,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,,
06/20/2017,0:15,,,40.67302,-73.767624,"(40.67302, -73.767624)",137 AVENUE                      ,173 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3694415,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
06/20/2017,0:15,,,40.68714,-73.80801,"(40.68714, -73.80801)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3694596,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
06/20/2017,0:30,QUEENS,11385,40.698753,-73.89726,"(40.698753, -73.89726)",FOREST AVENUE                   ,DECATUR STREET,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3694922,PASSENGER VEHICLE,,,,
06/20/2017,0:30,STATEN ISLAND,10306,40.572063,-74.111115,"(40.572063, -74.111115)",CLAWSON STREET                  ,JACQUES AVENUE,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,,,3694992,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,,,
