naam bc/std,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
A00 Burgwallen-Oude Zijde,33,41,33,27,45,48,47,40,29,45,34,44,37,28,29,42,38,31,28,39
A01 Burgwallen-Nieuwe Zijde,41,33,33,39,39,35,39,30,41,43,41,44,33,46,33,29,31,31,30,34
A02 Grachtengordel-West,89,87,93,110,102,93,101,121,109,110,97,85,78,78,75,71,63,57,62,70
A03 Grachtengordel-Zuid,50,55,58,40,51,48,58,48,45,54,34,45,46,36,60,41,41,44,49,62
A04 Nieuwmarkt/Lastage,81,93,83,113,94,103,98,105,94,92,79,95,98,99,69,77,63,68,78,68
A05 Haarlemmerbuurt,62,78,86,79,95,84,86,82,92,82,86,68,93,116,113,108,120,110,111,102
A06 Jordaan,228,193,244,211,201,238,232,233,245,233,214,183,211,215,205,185,193,221,194,214
A07 De Weteringschans,65,68,83,63,81,85,80,106,83,84,95,87,72,78,87,81,87,80,82,88
A08 Weesperbuurt/Plantage,76,81,75,88,71,94,89,66,62,92,87,86,49,76,71,65,92,85,73,74
A09 Oostelijke Eilanden/Kadijken,149,135,154,148,145,138,107,157,136,141,122,139,143,161,171,156,134,127,149,134
B10 Westelijk Havengebied,3,2,1,1,4,3,-,-,1,3,2,2,3,1,4,1,2,1,2,1
B11 Bedrijventerrein Sloterdijk,2,1,3,2,2,3,-,-,4,1,-,-,-,-,-,1,1,-,,
E12 Houthavens,1,4,-,3,2,7,9,16,12,18,12,18,8,15,12,9,10,10,6,5
E13 Spaarndammer- en Zeeheldenbuurt,176,173,191,185,185,162,174,150,148,129,133,131,139,139,155,145,153,163,149,152
E14 Staatsliedenbuurt,152,152,181,200,194,207,191,199,152,190,185,175,171,173,196,189,184,173,172,175
E15 Centrale Markt,10,30,58,53,36,34,33,30,33,28,34,35,34,32,33,34,26,42,20,28
E16 Frederik Hendrikbuurt,104,100,107,110,112,121,103,113,109,96,89,107,122,110,119,125,117,125,132,131
E17 Da Costabuurt,58,47,52,48,58,55,55,59,58,54,60,60,49,79,69,65,71,61,76,51
E18 Kinkerbuurt,78,59,79,80,73,71,77,77,80,78,60,61,70,68,64,84,82,73,77,82
E19 Van Lennepbuurt,74,76,60,76,83,84,72,83,86,70,71,87,78,77,68,106,91,76,90,92
E20 Helmersbuurt,71,90,94,109,97,97,105,122,115,117,116,122,103,125,114,139,116,114,110,100
E21 Overtoomse Sluis,116,132,94,112,110,127,116,105,120,108,121,114,121,135,136,118,146,144,145,131
E22 Vondelbuurt,17,16,28,25,22,23,18,21,19,31,22,17,17,22,15,15,22,19,14,20
E36 Sloterdijk,1,-,1,1,1,-,-,-,-,2,-,1,-,-,2,2,-,1,8,9
E37 Landlust,307,315,325,305,318,339,321,342,312,345,350,302,300,304,349,310,334,299,333,282
E38 Erasmuspark,91,79,81,87,83,89,94,86,117,96,77,75,89,106,95,112,125,115,102,106
E39 De Kolenkit,112,129,140,158,156,136,163,135,147,112,101,155,105,136,100,107,130,137,163,140
E40 De Krommert,173,183,177,198,199,205,159,194,202,191,174,174,189,199,211,203,220,205,122,121
E41 Van Galenbuurt,110,105,105,107,102,100,102,109,91,83,80,79,89,89,89,110,92,98,96,97
E42 Hoofdweg e.o.,179,177,193,193,216,197,169,188,185,198,178,185,168,175,179,178,189,170,183,171
E43 Westindische Buurt,88,93,93,111,114,112,118,105,112,100,105,95,116,116,121,114,108,127,146,128
F75 Spieringhorn,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,3,-
F76 Slotermeer-Noordoost,111,147,118,140,158,136,147,154,174,183,161,151,172,183,171,165,154,160,164,150
F77 Slotermeer-Zuidwest,167,182,201,190,234,223,250,246,234,274,222,212,274,234,263,254,245,234,253,237
F78 Geuzenveld,175,183,180,178,207,205,196,193,216,249,243,266,239,225,243,238,253,239,260,257
F79 Eendracht,42,40,35,22,15,20,16,16,19,32,16,19,21,23,22,24,27,33,21,40
F80 Lutkemeer/Ookmeer,5,6,12,10,33,20,20,11,8,6,12,3,10,9,3,15,8,13,9,10
F81 Osdorp-Oost,102,112,127,129,143,144,135,157,160,165,155,160,191,176,227,201,213,210,211,206
F82 Osdorp-Midden,189,191,203,165,156,191,195,155,174,188,185,196,205,252,280,294,268,289,298,278
F83 De Punt,43,56,55,35,53,49,55,62,49,65,63,57,67,82,45,71,72,81,78,87
F84 Middelveldsche Akerpolder/Sloten,112,98,134,197,269,201,207,205,221,209,197,168,188,167,154,165,170,148,143,165
F85 Slotervaart,128,160,178,179,198,236,204,210,210,211,212,197,225,240,230,225,233,227,88,110
F86 Overtoomse Veld,101,110,111,108,135,112,139,127,128,133,122,138,139,154,178,147,127,150,136,165
F87 Westlandgracht,40,55,53,77,73,80,66,71,84,85,76,52,69,77,88,103,138,126,132,138
F88 Sloter-/Riekerpolder,262,275,277,234,199,181,153,169,144,128,128,135,125,119,125,112,104,136,112,115
