yr,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
A00 Burgwallen-Oude Zijde,36,28,20,26,15,26,21,26,20,15,13,17,12,10,22,11,19,14,15,16
A01 Burgwallen-Nieuwe Zijde,19,14,12,16,10,12,11,20,17,15,12,17,15,10,6,13,15,9,15,22
A02 Grachtengordel-West,30,25,25,33,36,22,36,17,31,37,29,30,29,28,21,21,25,33,21,20
A03 Grachtengordel-Zuid,18,18,26,20,29,20,24,17,18,17,20,22,15,22,16,17,23,25,20,14
A04 Nieuwmarkt/Lastage,50,55,55,63,67,60,73,62,52,58,59,55,62,68,60,57,51,55,64,79
A05 Haarlemmerbuurt,57,51,57,55,53,43,48,53,44,70,34,33,40,36,53,50,42,33,63,62
A06 Jordaan,201,184,170,171,164,189,204,184,163,166,159,149,144,138,140,148,140,125,146,150
A07 De Weteringschans,50,47,30,32,37,35,35,32,32,29,23,22,27,30,20,40,30,24,26,24
A08 Weesperbuurt/Plantage,359,332,343,395,308,315,331,318,283,277,258,220,180,172,183,164,177,149,159,104
A09 Oostelijke Eilanden/Kadijken,54,50,45,55,49,59,39,61,41,57,57,45,50,61,68,48,75,74,74,93
B10 Westelijk Havengebied,-,1,2,2,2,1,-,3,3,1,1,1,3,1,2,1,2,1,1,1
B11 Bedrijventerrein Sloterdijk,1,-,1,1,1,1,-,2,-,-,1,-,-,2,1,2,3,3,,
E12 Houthavens,1,-,1,4,2,2,3,-,2,1,2,3,5,1,-,1,1,1,2,4
E13 Spaarndammer- en Zeeheldenbuurt,118,118,114,104,127,111,109,102,111,96,90,82,87,75,90,78,85,85,73,80
E14 Staatsliedenbuurt,68,70,59,60,74,55,56,63,55,47,55,55,59,41,47,48,44,62,57,45
E15 Centrale Markt,10,7,6,8,12,12,16,10,7,16,14,11,10,8,9,7,10,16,7,13
E16 Frederik Hendrikbuurt,137,121,131,132,125,105,113,123,116,92,103,96,81,76,82,77,83,80,85,89
E17 Da Costabuurt,36,31,32,26,20,18,21,29,27,18,25,28,17,19,24,25,19,15,24,21
E18 Kinkerbuurt,37,37,40,36,18,27,23,19,25,28,28,13,18,20,22,18,24,26,11,35
E19 Van Lennepbuurt,65,59,69,63,64,56,56,72,55,48,41,46,48,48,54,39,59,41,48,50
E20 Helmersbuurt,38,34,35,28,46,28,30,31,25,31,19,25,27,30,30,32,24,23,20,32
E21 Overtoomse Sluis,32,40,35,24,38,45,28,32,39,35,23,28,30,34,31,37,25,32,34,23
E22 Vondelbuurt,19,28,22,36,19,18,15,32,30,20,18,23,20,18,19,15,17,16,20,27
E36 Sloterdijk,1,-,-,1,1,-,-,3,-,-,-,-,-,1,-,-,1,1,-,3
