Year,Latitude,Longitude,Pollutant,AggregationType,Unit,AQValue
2013,51.9150009195,4.48028898,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,66.72
2013,51.6033325195,4.78084707,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,60.46
2013,51.5194435095,5.14890242,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,63.02
2013,52.8047218295,5.05084181,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,54.08
2013,52.4300003095,4.76999998,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,62.35
2013,52.3930587795,4.87000275,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,62.96666666
2013,52.7899999995,4.729,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,72.4375
2014,51.4075012195,5.39333344,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,53.8
2014,52.1022224395,5.12833357,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,46.79166666
2014,52.2980537395,4.51028633,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,63.5375
2014,52.0780563395,4.28917217,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,56.93
2014,52.2030559995,4.988614,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,52.14583333
2014,51.9780559995,4.121389,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,55.8875
2014,51.5936088595,4.82500839,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,59.90416666
2014,51.9380559995,4.431111,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,59.6875
2015,52.4630199995,4.601922,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,77.35833333
2015,52.4000015295,4.73000002,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,76.67916666
2015,52.3930587795,4.87000275,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,73.925
2015,51.9269447295,4.46167755,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,73.823075
2015,53.2180557295,6.57889986,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,60.57157916
2016,51.8911132795,4.48111105,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,46.83324999
2016,51.8688888495,4.57472229,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,44.08199999
2016,51.5411109895,5.85361385,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,39.59911249
2016,51.5936088595,4.82500839,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,43.92312916
2016,52.2350799995,5.181552,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,59.1664909
2013,52.1022224395,5.12833357,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,64.96
2013,52.3599967995,4.8088975,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,62.58333333
2013,51.5411109895,5.85361385,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,58.75
2013,51.9113922095,4.32695293,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,64.56
2013,52.3900031995,4.88805819,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,61.99583333
2013,52.3811111495,4.84501123,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,60.3375
2013,52.4630199995,4.601922,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,59.3875
2013,51.8488889995,5.858061,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,62.97
2013,53.3316650395,6.27750874,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,52.77
2013,52.1124992395,5.70861912,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,65.34
2014,52.3580551095,4.9000001,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,79.16666666
2014,51.9611109995,4.09,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,65.30416666
2014,52.1061109995,5.125286,Particulate matter < 2.5 µm (aerosol),1 year day max,ug.m-3,51.84583333
