naam bc/std,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
A00 Burgwallen-Oude Zijde,4567,4403,4237,4168,4201,4228,4396,4275,4094,3701,3684,3737,3732,3754,3783,3900,3928,4013,4091,4194,4262,4290,4246
A01 Burgwallen-Nieuwe Zijde,4296,4172,3899,3833,3846,3801,3673,3633,3597,3585,3676,3791,3799,4006,4048,4468,4495,4407,4394,4485,4199,3981,3991
A02 Grachtengordel-West,6967,6955,6889,7089,7241,7196,7176,7211,7651,8372,8412,8464,8240,7986,6890,6800,6939,7033,6991,7001,6429,6483,6371
A03 Grachtengordel-Zuid,4233,4196,4101,4114,4253,4250,4221,4132,4134,4164,4200,4225,4180,4154,4188,4233,4343,4274,4327,4407,5388,5455,5407
A04 Nieuwmarkt/Lastage,7995,7888,7805,7871,8392,8625,8585,8595,8547,8680,8819,8812,8545,8667,8783,8808,9008,9021,9324,9443,9539,9618,9649
A05 Haarlemmerbuurt,7029,6994,6897,6958,7013,6991,6923,6897,6893,7050,7143,7095,6978,7192,7918,8704,8925,9046,9214,9320,9294,9314,9304
A06 Jordaan,18981,18945,18628,18574,18681,18733,18610,18537,18376,18524,18772,18890,18855,18686,18662,18930,18982,19093,19125,19343,19401,19408,19316
A07 De Weteringschans,6803,6788,6579,6630,6714,6686,6708,6643,6545,6629,6855,6883,6919,6880,6861,6973,7101,7146,7293,7299,7357,7352,7256
A08 Weesperbuurt/Plantage,7377,7389,7394,7373,7426,7296,7274,7294,7319,7402,7591,7472,7252,7248,7365,7294,7518,7405,7719,7682,7845,7943,7894
A09 Oostelijke Eilanden/Kadijken,11956,11866,11804,11845,11865,11863,11758,11729,11823,11812,12050,12611,12319,12745,12807,12603,12791,13103,13140,12925,12704,12655,12988
B10 Westelijk Havengebied,232,183,175,272,279,280,284,258,240,239,241,233,251,249,229,244,240,242,294,236,202,200,192
B11 Bedrijventerrein Sloterdijk,92,137,148,137,135,121,124,115,87,90,101,102,119,106,160,165,194,206,212,187,0,0,0
E12 Houthavens,250,236,210,206,195,171,242,280,593,639,1045,1700,1680,1817,1878,1749,1943,1909,1706,1585,1602,1044,1065
E13 Spaarndammer- en Zeeheldenbuurt,11810,11592,11484,11444,11422,11395,11530,11416,11040,10811,10495,10357,10187,10002,9917,9968,10319,10583,10645,10695,10761,10888,10801
E14 Staatsliedenbuurt,11756,11427,11476,11583,11810,11679,11748,11875,11996,12057,12121,12095,12100,12094,11875,11921,12094,12400,12504,12754,13056,13187,13268
E15 Centrale Markt,974,1003,1025,1752,2281,2304,2293,2311,2314,2331,2296,2363,2441,2617,2615,2586,2596,2587,2559,2538,2534,2501,2452
E16 Frederik Hendrikbuurt,8078,8137,8202,8203,8058,8173,8229,8074,7856,7479,7625,7565,7651,7790,7862,7831,7920,7876,7991,8143,8377,8496,8414
E17 Da Costabuurt,4533,4486,4339,4263,4289,4329,4332,4259,4215,4304,4314,4261,4250,4349,4350,4395,4429,4448,4564,4659,4661,4688,4742
E18 Kinkerbuurt,5622,5453,5375,5406,5262,5320,5305,5272,5273,5271,5224,5181,5060,5028,5044,5140,5172,5399,5976,6129,6208,6358,6391
E19 Van Lennepbuurt,7007,7016,6953,6979,6910,6976,7012,6943,6880,6791,6632,6536,6608,6630,6709,6775,6824,6937,6914,7077,7131,7078,6985
E20 Helmersbuurt,6946,6746,6756,6734,6736,6755,6672,6570,6607,6723,6773,6839,6811,6788,6903,7120,7235,7337,7456,7474,7527,7506,7470
E21 Overtoomse Sluis,7575,7277,7366,7280,7158,7066,7036,7049,7050,7105,7157,7156,7093,7007,7058,7243,7476,7547,7605,7720,7747,7788,7807
E22 Vondelbuurt,1710,1856,1781,1763,1768,1797,1795,1790,1716,1705,1740,1746,1707,1682,1696,1728,1720,1752,1805,1864,1898,1868,1897
E36 Sloterdijk,74,84,83,87,83,82,80,82,82,82,88,95,101,103,104,99,113,113,122,102,503,515,529
E37 Landlust,19108,18775,18439,18352,18233,18204,18167,17895,17776,17947,18180,18325,18110,17841,17513,17965,18299,18098,18408,18577,18742,19082,18652
E38 Erasmuspark,5933,5872,5838,5710,5723,5670,5669,5691,5611,5616,5370,5176,5073,5068,5531,5500,5658,5710,5792,5775,5898,5891,5765
E39 De Kolenkit,6794,6683,6687,6686,6799,6890,7002,6992,7314,7575,7351,6847,7010,7033,7219,7313,7215,7952,8605,9293,9220,9577,9918
E40 De Krommert,12825,12561,12458,12345,12366,12349,12286,12228,11976,11939,12135,11898,11861,11961,11814,11949,12153,12302,12845,12967,6751,6840,6935
E41 Van Galenbuurt,6183,6070,6055,5893,5576,5475,5654,5735,5643,5545,5656,5628,5499,5414,5460,5502,5542,5583,6407,6669,6749,6992,6977
E42 Hoofdweg e.o.,10617,10363,10198,10148,10309,10368,10449,10480,10289,10057,10220,10281,10072,10039,9988,10026,10058,10149,10224,10382,10440,10481,10619
