hood,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055
A01 Burgwallen-Nieuwe Zijde,4296,4172,3899,3833,3846,3801,3673,3633,3597,3585,3676,3791,3799,4006,4048,4468,4495,4407,4394,4485,4199,3981,3991,4200,4219,4239,4259,4278,4298,4318,4337,4357,4377,4396,4416,4436,4455,4475,4495,4514,4534,4554,4573,4593,4613,4632,4652,4672,4691,4711,4731,4750,4770,4789,4809,4829,4848,4868,4888,4907
A02 Grachtengordel-West,6967,6955,6889,7089,7241,7196,7176,7211,7651,8372,8412,8464,8240,7986,6890,6800,6939,7033,6991,7001,6429,6483,6371,7005,6981,6956,6932,6907,6882,6858,6833,6809,6784,6759,6735,6710,6686,6661,6636,6612,6587,6563,6538,6513,6489,6464,6439,6415,6390,6366,6341,6316,6292,6267,6243,6218,6193,6169,6144,6120
A03 Grachtengordel-Zuid,4233,4196,4101,4114,4253,4250,4221,4132,4134,4164,4200,4225,4180,4154,4188,4233,4343,4274,4327,4407,5388,5455,5407,4780,4821,4862,4903,4943,4984,5025,5066,5106,5147,5188,5229,5269,5310,5351,5392,5432,5473,5514,5554,5595,5636,5677,5717,5758,5799,5840,5880,5921,5962,6003,6043,6084,6125,6166,6206,6247
A04 Nieuwmarkt/Lastage,7995,7888,7805,7871,8392,8625,8585,8595,8547,8680,8819,8812,8545,8667,8783,8808,9008,9021,9324,9443,9539,9618,9649,9490,9566,9641,9716,9791,9866,9941,10016,10091,10166,10241,10316,10391,10466,10541,10616,10691,10766,10841,10916,10991,11067,11142,11217,11292,11367,11442,11517,11592,11667,11742,11817,11892,11967,12042,12117,12192
A05 Haarlemmerbuurt,7029,6994,6897,6958,7013,6991,6923,6897,6893,7050,7143,7095,6978,7192,7918,8704,8925,9046,9214,9320,9294,9314,9304,9139,9274,9409,9545,9680,9815,9950,10086,10221,10356,10491,10627,10762,10897,11032,11168,11303,11438,11573,11709,11844,11979,12114,12250,12385,12520,12655,12790,12926,13061,13196,13331,13467,13602,13737,13872,14008
A06 Jordaan,18981,18945,18628,18574,18681,18733,18610,18537,18376,18524,18772,18890,18855,18686,18662,18930,18982,19093,19125,19343,19401,19408,19316,19182,19213,19244,19275,19306,19337,19368,19399,19430,19461,19492,19523,19554,19585,19616,19647,19678,19709,19740,19771,19802,19833,19864,19895,19926,19957,19988,20019,20050,20081,20112,20144,20175,20206,20237,20268,20299
A07 De Weteringschans,6803,6788,6579,6630,6714,6686,6708,6643,6545,6629,6855,6883,6919,6880,6861,6973,7101,7146,7293,7299,7357,7352,7256,7250,7285,7319,7353,7387,7421,7456,7490,7524,7558,7592,7626,7661,7695,7729,7763,7797,7832,7866,7900,7934,7968,8002,8037,8071,8105,8139,8173,8207,8242,8276,8310,8344,8378,8413,8447,8481
A08 Weesperbuurt/Plantage,7377,7389,7394,7373,7426,7296,7274,7294,7319,7402,7591,7472,7252,7248,7365,7294,7518,7405,7719,7682,7845,7943,7894,7678,7699,7719,7740,7761,7782,7803,7824,7845,7866,7887,7908,7929,7950,7970,7991,8012,8033,8054,8075,8096,8117,8138,8159,8180,8201,8222,8242,8263,8284,8305,8326,8347,8368,8389,8410,8431
A09 Oostelijke Eilanden/Kadijken,11956,11866,11804,11845,11865,11863,11758,11729,11823,11812,12050,12611,12319,12745,12807,12603,12791,13103,13140,12925,12704,12655,12988,12991,13056,13121,13187,13252,13317,13382,13448,13513,13578,13644,13709,13774,13840,13905,13970,14036,14101,14166,14232,14297,14362,14427,14493,14558,14623,14689,14754,14819,14885,14950,15015,15081,15146,15211,15276,15342
B10 Westelijk Havengebied,232,183,175,272,279,280,284,258,240,239,241,233,251,249,229,244,240,242,294,236,202,200,192,232,231,230,230,229,228,228,227,226,225,225,224,223,223,222,221,220,220,219,218,218,217,216,216,215,214,213,213,212,211,211,210,209,208,208,207,206
B11 Bedrijventerrein Sloterdijk,92,137,148,137,135,121,124,115,87,90,101,102,119,106,160,165,194,206,212,187,0,0,0,105,103,102,100,99,98,96,95,93,92,90,89,88,86,85,83,82,80,79,78,76,75,73,72,70,69,68,66,65,63,62,60,59,58,56,55,53
E12 Houthavens,250,236,210,206,195,171,242,280,593,639,1045,1700,1680,1817,1878,1749,1943,1909,1706,1585,1602,1044,1065,1851,1933,2015,2097,2178,2260,2342,2424,2506,2588,2669,2751,2833,2915,2997,3079,3161,3242,3324,3406,3488,3570,3652,3734,3815,3897,3979,4061,4143,4225,4307,4388,4470,4552,4634,4716,4798
E13 Spaarndammer- en Zeeheldenbuurt,11810,11592,11484,11444,11422,11395,11530,11416,11040,10811,10495,10357,10187,10002,9917,9968,10319,10583,10645,10695,10761,10888,10801,10276,10219,10162,10104,10047,9989,9932,9875,9817,9760,9702,9645,9588,9530,9473,9415,9358,9301,9243,9186,9128,9071,9014,8956,8899,8841,8784,8727,8669,8612,8554,8497,8440,8382,8325,8267,8210
