STN,DATE,FHX,PX,PN
  215,20170817,   60,10167,10125
  215,20170818,   80,10122,10101
  215,20170819,   80,10186,10106
  215,20170820,   80,10240,10187
  215,20170821,   30,10236,10221
  215,20170822,   40,10220,10180
  215,20170823,   60,10178,10122
  215,20170824,   60,10178,10133
  215,20170825,   40,10187,10164
  215,20170826,   50,10173,10154
  215,20170827,   40,10198,10174
  215,20170828,   40,10195,10160
  215,20170829,   40,10156,10098
  215,20170830,   90,10111,10073
  215,20170831,   60,10206,10109
  215,20170901,   40,10213,10202
  215,20170902,   50,10216,10199
  215,20170903,   30,10196,10138
  215,20170904,   40,10164,10132
  215,20170905,   60,10159,10128
  215,20170906,   90,10174,10116
  215,20170907,   70,10163,10067
  215,20170908,   80,10059, 9949
  215,20170909,   60,10009, 9932
  215,20170910,  110,10023, 9921
  215,20170911,  110, 9976, 9918
  215,20170912,   90,10070, 9981
  215,20170913,  150, 9998, 9910
  215,20170914,  110,10110, 9979
  215,20170915,   70,10110,10099
  215,20170916,   40,10120,10089
  215,20170917,   40,10131,10116
  215,20170918,   40,10150,10120
  215,20170919,   40,10211,10150
  215,20170920,   50,10203,10190
  215,20170921,   50,10194,10180
  215,20170922,   40,10239,10186
  215,20170923,   20,10249,10231
  215,20170924,   40,10235,10220
  215,20170925,   50,10224,10208
  215,20170926,   40,10239,10213
  215,20170927,   40,10233,10205
  215,20170928,   40,10217,10200
  215,20170929,   50,10208,10157
  215,20170930,   40,10181,10160
  215,20171001,   80,10179,10102
  215,20171002,   90,10123,10092
  215,20171003,   80,10229,10124
  215,20171004,   90,10223,10131
  215,20171005,  130,10170,10048
  215,20171006,   90,10243,10170
  215,20171007,   80,10222,10097
  215,20171008,   60,10209,10129
  215,20171009,   50,10206,10148
  215,20171010,   70,10148,10138
  215,20171011,   90,10138,10102
  215,20171012,   90,10224,10117
  215,20171013,   90,10241,10221
  215,20171014,   60,10256,10240
  215,20171015,   50,10241,10186
  215,20171016,   60,10199,10174
  215,20171017,   50,10212,10167
  215,20171018,   30,10164,10114
  215,20171019,   60,10114,10055
  215,20171020,  100,10110,10032
  215,20171021,  100,10100,10052
  215,20171022,   90,10145,10045
  215,20171023,   80,10193,10147
  215,20171024,   90,10190,10178
  215,20171025,   80,10240,10170
  215,20171026,   50,10241,10231
  215,20171027,   80,10316,10238
  215,20171028,  110,10279,10102
