Type,Province,Lat,Lng,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Dead,Groningen,53.2216229,6.4256111,NA,NA,NA,48,49,41,33,34,43,57,53,42,21,31,23,36,29,25,26,18,28,19,28,15
Dead,Friesland,53.1571536,5.0761202,NA,NA,NA,71,58,50,82,64,47,47,64,44,48,39,34,34,28,27,30,29,22,29,33,33
Dead,Drenthe,52.9080482,6.3262159,NA,NA,NA,46,59,53,44,46,56,55,49,34,32,42,40,35,34,30,30,33,35,26,31,29
Dead,Overyssel,52.4856416,5.8648919,NA,NA,NA,112,104,86,104,80,84,65,89,72,70,61,50,53,63,53,49,65,52,52,41,59
Dead,Gelderland,52.1273232,5.3530581,NA,NA,NA,159,185,135,175,169,122,140,148,131,116,131,116,124,97,84,85,98,99,77,83,98
Dead,Utrecht,52.0842715,5.012452,NA,NA,NA,89,75,65,76,57,55,53,55,45,50,45,54,51,42,38,38,34,23,34,36,44
Dead,Noord-Holland,52.6740633,4.3506089,NA,NA,NA,157,149,162,154,166,151,137,142,103,113,105,109,92,103,80,99,89,70,72,78,86
Dead,Zuid-Holland,51.9916867,3.9336824,NA,NA,NA,175,155,197,173,159,150,171,157,126,95,120,113,93,117,94,98,95,84,78,88,70
Dead,Zeeland,51.4795203,3.5386487,NA,NA,NA,39,53,44,43,36,36,30,25,25,24,39,21,30,23,30,21,16,20,33,21,22
Dead,Noord-Brabant,51.5253454,4.5584978,NA,NA,NA,235,218,191,196,221,212,202,193,170,169,130,140,137,130,117,118,105,81,100,117,113
Dead,Limburg,51.2640022,5.3360286,NA,NA,NA,89,100,102,75,93,105,86,79,67,59,56,75,53,40,41,53,54,45,41,53,49
Dead,Flevoland,52.548423,5.2863299,NA,NA,NA,24,30,21,27,39,19,23,34,22,20,12,16,12,14,21,14,14,11,9,12,11
Seriously injured,Groningen,53.2216229,6.4256111,618,673,582,567,564,517,563,494,556,541,567,545,482,468,410,524,556,NA,NA,NA,NA,NA,NA,NA
Seriously injured,Friesland,53.1571536,5.0761202,881,949,899,873,865,796,856,769,712,727,764,753,805,784,754,731,802,NA,NA,NA,NA,NA,NA,NA
Seriously injured,Drenthe,52.9080482,6.3262159,594,604,620,581,589,591,671,619,647,587,617,662,624,693,711,696,786,NA,NA,NA,NA,NA,NA,NA
Seriously injured,Overyssel,52.4856416,5.8648919,"1,310","1,428","1,534","1,380","1,407","1,321","1,421","1,208","1,242","1,180","1,316","1,171","1,213",988,"1,143","1,223","1,257",NA,NA,NA,NA,NA,NA,NA
Seriously injured,Gelderland,52.1273232,5.3530581,"2,452","2,368","2,583","2,475","2,550","2,202","2,202","2,222","1,977","1,993","1,994","2,092","2,212","2,105","2,326","2,322","2,561",NA,NA,NA,NA,NA,NA,NA
Seriously injured,Utrecht,52.0842715,5.012452,"1,177","1,149","1,187","1,168","1,168","1,147","1,159","1,021","1,018",941,"1,128",912,981,996,"1,198","1,331","1,170",NA,NA,NA,NA,NA,NA,NA
Seriously injured,Noord-Holland,52.6740633,4.3506089,"2,945","2,988","2,995","2,913","2,958","2,680","2,909","2,603","2,656","2,712","2,610","2,695","2,733","2,641","2,957","3,063","3,119",NA,NA,NA,NA,NA,NA,NA
Seriously injured,Zuid-Holland,51.9916867,3.9336824,"2,809","2,800","2,861","2,855","2,771","2,854","2,989","2,936","2,739","2,877","2,902","2,739","2,652","2,509","2,621","2,935","3,183",NA,NA,NA,NA,NA,NA,NA
Seriously injured,Zeeland,51.4795203,3.5386487,396,413,497,518,474,435,547,420,486,443,533,441,352,400,353,478,463,NA,NA,NA,NA,NA,NA,NA
Seriously injured,Noord-Brabant,51.5253454,4.5584978,"2,867","3,091","2,895","2,812","3,112","2,600","2,689","2,555","2,386","2,560","2,427","2,538","2,473","2,380","2,630","2,585","2,812",NA,NA,NA,NA,NA,NA,NA
Seriously injured,Limburg,51.2640022,5.3360286,"1,356","1,431","1,316","1,269","1,354","1,296","1,279","1,299","1,232","1,258","1,300","1,258","1,101","1,137","1,237","1,279","1,255",NA,NA,NA,NA,NA,NA,NA
Seriously injured,Flevoland,52.548423,5.2863299,257,246,297,309,341,275,268,363,363,271,363,374,369,323,304,440,614,NA,NA,NA,NA,NA,NA,NA
