"Name","Activity type","Description"
"Hallein","walking",""

"Segment","Point","Latitude (deg)","Longitude (deg)","Altitude (m)","Bearing (deg)","Accuracy (m)","Speed (m/s)","Time","Power (W)","Cadence (rpm)","Heart rate (bpm)"
"1","1","47.685989","13.081926","786.0","289.0","21","0.86","2016-09-16T13:04:30.817Z","","",""
"1","2","47.685995","13.081821","752.0","","10","0","2016-09-16T13:04:40.000Z","","",""
"1","3","47.685981","13.081791","746.0","","8","0","2016-09-16T13:04:41.000Z","","",""
"1","4","47.686059","13.081775","773.0","319.0","3.9","0.83","2016-09-16T13:04:54.000Z","","",""
"1","5","47.686075","13.081741","776.0","322.0","3.9","1.11","2016-09-16T13:04:55.000Z","","",""
"1","6","47.686143","13.08166","774.0","340.0","3.9","0.84","2016-09-16T13:05:01.000Z","","",""
"1","7","47.686145","13.081637","774.0","4.0","3.9","0.28","2016-09-16T13:05:02.000Z","","",""
"1","8","47.686141","13.081642","774.0","0.0","3.9","0.21","2016-09-16T13:05:03.000Z","","",""
"1","9","47.686145","13.081635","775.0","","3.9","0","2016-09-16T13:05:08.000Z","","",""
"1","10","47.686153","13.081635","776.0","343.0","3.9","0.56","2016-09-16T13:05:09.000Z","","",""
"1","11","47.686203","13.08154","778.0","304.0","3.9","0.88","2016-09-16T13:05:15.000Z","","",""
"1","12","47.686208","13.081526","778.0","307.0","3.9","0.79","2016-09-16T13:05:16.000Z","","",""
"1","13","47.686254","13.081432","779.0","","3.9","0","2016-09-16T13:05:25.000Z","","",""
"1","14","47.686262","13.081409","778.0","308.0","3.9","0.62","2016-09-16T13:05:26.000Z","","",""
"1","15","47.686296","13.081287","781.0","319.0","3.9","0.71","2016-09-16T13:05:35.000Z","","",""
"1","16","47.6863","13.081265","780.0","297.0","9","0.77","2016-09-16T13:05:36.000Z","","",""
"1","17","47.686353","13.081164","787.0","284.0","9","0.55","2016-09-16T13:05:45.000Z","","",""
"1","18","47.686354","13.08115","788.0","319.0","9","0.77","2016-09-16T13:05:46.000Z","","",""
"1","19","47.686414","13.081076","791.0","328.0","9","1.09","2016-09-16T13:05:53.000Z","","",""
"1","20","47.686422","13.08106","791.0","328.0","9","1.09","2016-09-16T13:05:54.000Z","","",""
"1","21","47.686486","13.080975","792.0","327.0","9","0.43","2016-09-16T13:06:03.000Z","","",""
"1","22","47.686493","13.080952","791.0","297.0","9","0.91","2016-09-16T13:06:04.000Z","","",""
"1","23","47.686544","13.080853","794.0","309.0","10","1.11","2016-09-16T13:06:16.000Z","","",""
"1","24","47.686548","13.080836","795.0","302.0","10","1.06","2016-09-16T13:06:17.000Z","","",""
"1","25","47.686587","13.080747","794.0","295.0","11","0.84","2016-09-16T13:06:24.000Z","","",""
"1","26","47.686596","13.080717","793.0","313.0","10","1.29","2016-09-16T13:06:25.000Z","","",""
"1","27","47.686624","13.080596","788.0","296.0","11","1.62","2016-09-16T13:06:28.000Z","","",""
"1","28","47.686634","13.080591","788.0","308.0","11","1.25","2016-09-16T13:06:29.000Z","","",""
"1","29","47.686626","13.080534","786.0","","11","0","2016-09-16T13:06:36.000Z","","",""
"1","30","47.686626","13.080556","786.0","69.0","11","0.17","2016-09-16T13:06:37.000Z","","",""
"1","31","47.686635","13.080566","787.0","2.0","11","0.33","2016-09-16T13:06:38.000Z","","",""
"1","32","47.686654","13.080445","784.0","284.0","10","1.02","2016-09-16T13:06:43.000Z","","",""
"1","33","47.686655","13.080425","784.0","263.0","10","0.91","2016-09-16T13:06:44.000Z","","",""
