hood,2009,2010,2011,2012,2013,2014,2015
A00 Burgwallen-Oude Zijde,3739,3391,3430,3461,3944,3797,4187
A01 Burgwallen-Nieuwe Zijde,7233,7123,7604,8071,8504,8111,8597
A02 Grachtengordel-West,1328,1338,1390,1525,1454,1461,1463
A03 Grachtengordel-Zuid,1703,2005,2340,2554,2746,2472,2601
A04 Nieuwmarkt/Lastage,1937,1988,1937,1955,1998,2232,2221
A05 Haarlemmerbuurt,904,1068,1075,963,1187,1198,1113
A06 Jordaan,1853,1817,2077,2044,2060,2208,2147
A07 De Weteringschans,3132,3588,3773,4247,4244,3792,3493
A08 Weesperbuurt/Plantage,986,908,1025,993,870,1000,939
A09 Oostelijke Eilanden/Kadijken,1002,1119,1316,1105,1004,949,1001
B10 Westelijk Havengebied,389,484,714,732,426,385,390
B11 Bedrijventerrein Sloterdijk,861,1080,990,1165,1258,1065,737
E12 Houthavens,146,166,144,104,123,88,69
E13 Spaarndammer- en Zeeheldenbuurt,943,1039,1069,1058,1036,1054,929
E14 Staatsliedenbuurt,921,932,922,784,819,802,844
E15 Centrale Markt,362,342,381,340,320,345,358
E16 Frederik Hendrikbuurt,575,600,608,561,582,580,600
E17 Da Costabuurt,549,594,596,626,625,626,642
E18 Kinkerbuurt,555,571,545,587,526,517,597
E19 Van Lennepbuurt,727,722,707,695,594,643,510
E20 Helmersbuurt,855,734,920,862,739,710,642
E21 Overtoomse Sluis,504,552,641,615,632,558,499
E22 Vondelbuurt,650,527,599,632,676,732,554
