ReportingYear,StationLocalId,SamplingPointLocalId,Pollutant,AQValue,Unit,SamplingPoint_Latitude,SamplingPoint_Longitude,AggregationType,Namespace,BeginPosition,EndPosition
2015,STA-NL00738,SPO-NL00738_00035_100,Ammonia (air),172.5,ug.m-3,52.112499239479874,5.7086191199999998,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2013,STA-NL00131,SPO-NL00131_00035_100,Ammonia (air),320.31,ug.m-3,51.541110989477339,5.8536138500000012,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00738,SPO-NL00738_00035_100,Ammonia (air),287.81,ug.m-3,52.112499239479874,5.7086191199999998,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2014,STA-NL00538,SPO-NL00538_00035_100,Ammonia (air),99.81,ug.m-3,52.804721829483249,5.0508418099999997,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2013,STA-NL00538,SPO-NL00538_00035_100,Ammonia (air),99.75,ug.m-3,52.804721829483249,5.0508418099999997,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2014,STA-NL00444,SPO-NL00444_00035_100,Ammonia (air),30.96,ug.m-3,52.298053739480757,4.5102863299999996,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00244,SPO-NL00244_00035_100,Ammonia (air),500,ug.m-3,51.535899999477301,5.8085929999999983,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2015,STA-NL00131,SPO-NL00131_00035_100,Ammonia (air),168.13,ug.m-3,51.541110989477339,5.8536138500000012,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00538,SPO-NL00538_00035_100,Ammonia (air),98.94,ug.m-3,52.804721829483249,5.0508418099999997,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00633,SPO-NL00633_00035_100,Ammonia (air),102.81,ug.m-3,52.138888999480002,4.8383359999999991,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2013,STA-NL00722,SPO-NL00722_00035_100,Ammonia (air),55.26,ug.m-3,52.092499999479791,6.6058390000000005,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00929,SPO-NL00929_00035_100,Ammonia (air),47.81,ug.m-3,52.876663209483603,6.9333334000000022,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2014,STA-NL00131,SPO-NL00131_00035_100,Ammonia (air),140.89,ug.m-3,51.541110989477339,5.8536138500000012,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2014,STA-NL00738,SPO-NL00738_00035_100,Ammonia (air),179.06,ug.m-3,52.112499239479874,5.7086191199999998,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2015,STA-NL00929,SPO-NL00929_00035_100,Ammonia (air),50.29,ug.m-3,52.876663209483603,6.9333334000000022,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2014,STA-NL00929,SPO-NL00929_00035_100,Ammonia (air),100,ug.m-3,52.876663209483603,6.9333334000000022,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2015,STA-NL00444,SPO-NL00444_00035_100,Ammonia (air),21.81,ug.m-3,52.298053739480757,4.5102863299999996,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00244,SPO-NL00244_00035_100,Ammonia (air),159.9,ug.m-3,51.535899999477301,5.8085929999999983,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2013,STA-NL00235,SPO-NL00235_00035_100,Ammonia (air),57.75,ug.m-3,51.435001369476886,4.3602862399999998,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00633,SPO-NL00633_00035_100,Ammonia (air),168.02,ug.m-3,52.138888999480002,4.8383359999999991,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00444,SPO-NL00444_00035_100,Ammonia (air),43.94,ug.m-3,52.298053739480757,4.5102863299999996,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2013,STA-NL00244,SPO-NL00244_00035_100,Ammonia (air),399.22,ug.m-3,51.535899999477301,5.8085929999999983,1 year hour max,NL.RIVM.AQ,2013-01-01,2014-01-01
2014,STA-NL00633,SPO-NL00633_00035_100,Ammonia (air),189.06,ug.m-3,52.138888999480002,4.8383359999999991,1 year hour max,NL.RIVM.AQ,2014-01-01,2015-01-01
2015,STA-NL00017,SPO-NL00017_00020_100,Benzene (air),20.83,ug.m-3,52.358055109481057,4.9000000999999989,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00485,SPO-NL00485_00020_100,Benzene (air),15.76,ug.m-3,51.866107939478766,4.3552775400000003,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00703,SPO-NL00703_00020_100,Benzene (air),18.1,ug.m-3,52.400001529481244,4.7300000200000012,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00494,SPO-NL00494_00020_100,Benzene (air),12.86,ug.m-3,51.921110999479019,4.401389,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00546,SPO-NL00546_00020_100,Benzene (air),30.8,ug.m-3,52.420218999481349,4.8320639999999999,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2016,STA-NL00704,SPO-NL00704_00020_100,Benzene (air),25.69999999,ug.m-3,52.430000309481379,4.7699999800000015,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2015,STA-NL00496,SPO-NL00496_00020_100,Benzene (air),31.19,ug.m-3,51.978055999479267,4.1213889999999989,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2016,STA-NL00017,SPO-NL00017_00020_100,Benzene (air),11.98,ug.m-3,52.358055109481057,4.9000000999999989,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
2015,STA-NL00704,SPO-NL00704_00020_100,Benzene (air),26,ug.m-3,52.430000309481379,4.7699999800000015,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2015,STA-NL00495,SPO-NL00495_00020_100,Benzene (air),46.86,ug.m-3,51.931945799479067,4.2277779600000001,1 year hour max,NL.RIVM.AQ,2015-01-01,2016-01-01
2016,STA-NL00703,SPO-NL00703_00020_100,Benzene (air),74.09999999,ug.m-3,52.400001529481244,4.7300000200000012,1 year hour max,NL.RIVM.AQ,2016-01-01,2017-01-01
