name,count
van der Aa,3544
Aalbers,2288
Aalders,2486
van Aalst,2835
Aarts,7734
Adams,2301
Adema,2600
Admiraal,2151
Aerts,2617
van Aken,2683
van den Akker,6658
Akkerman,3531
Akkermans,2699
Albers,5262
Alberts,3622
Ali,1956
van Alphen,4069
Altena,2644
van Amerongen,2231
van Andel,2169
Arends,5927
Arts,6955
van As,2002
van Asselt,2299
Aydin,2199
Baan,2705
Baars,6244
Baas,6288
van Bakel,2327
Bakker,55273
Bal,3044
Balk,1940
van Barneveld,1966
Bartels,3655
Barten,2074
Bax,3297
Beckers,4469
van Beek,16708
van de Beek,2681
van der Beek,3199
Beekman,3945
Beelen,1967
de Beer,4187
van Beers,3136
Beijer,2613
Bekker,2786
Bekkers,2939
Benjamins,2031
Berends,4938
Berendsen,4134
Berg,1958
van den Berg,57377
van den Berge,2250
van Bergen,4449
Berger,2150
van den Bergh,3958
Bergman,2880
Bergmans,2197
Bergsma,4899
van Berkel,5667
Berkhout,3647
den Besten,2045
Beumer,3176
van Beurden,1968
Bezemer,2288
de Bie,3548
Biemans,2165
van den Biggelaar,1942
Bijl,5883
van der Bijl,2170
Bijlsma,3504
Bisschop,2526
Blaauw,4072
Bleeker,2920
Bloem,2988
Blok,7598
Blokland,2534
Blom,14679
Boelens,2001
Boer,11448
de Boer,38191
den Boer,5595
Boers,5378
Boersma,6916
Bogers,2724
Bol,3199
van Bommel,2915
Bongers,4674
de Bont,2262
Boogaard,2275
van den Boogaard,3592
Booij,2499
Boom,4280
van den Boom,3369
Boon,7993
Boonstra,5605
Boot,4266
Boots,1966
Borst,4296
Bos,35402
van den Bos,5906
Bosch,10940
van den Bosch,10100
Bosma,8413
Bosman,9937
Bot,2068
Bouma,5942
Bouman,7104
Bouw,2278
Bouwens,2128
Bouwhuis,2793
Bouwman,7690
Bouwmeester,4635
van Boven,2429
van Boxtel,3961
Braam,3112
van Brakel,1961
Brand,5251
van den Brand,2645
Brands,4982
Brandsma,2528
van Bree,2576
Bremer,2236
van Breugel,2358
Brink,5385
van den Brink,13115
Brinkman,5237
Broeders,2909
van den Broek,18447
Broekhuizen,2795
Broekman,2236
Broere,2109
Broers,2738
Bron,2733
Bronkhorst,2281
Brons,2176
Brouwer,25419
de Brouwer,2061
Brouwers,6188
Bruggeman,2461
van Bruggen,3142
Brugman,3659
de Bruijn,16562
Bruin,3439
de Bruin,17593
Bruins,4097
Bruinsma,4410
Buijs,6883
Buis,3439
Buitenhuis,3329
van Buren,1960
van den Burg,2356
van der Burg,4560
Burger,4173
Burgers,3931
van der Burgt,2206
Bus,1954
van Bussel,2061
van Buuren,3280
Cheung,2038
Claassen,3423
Claessen,2038
Claessens,2418
Coenen,4265
Coolen,3326
Coppens,2105
Cornelisse,2345
Cornelissen,7242
Cox,3514
Cremers,3158
Cuijpers,2643
van Dalen,5873
Dam,3939
van Dam,15288
Damen,7475
Deckers,2066
Dekker,27946
Dekkers,8077
van Delft,3520
Demir,2395
Derks,6700
Derksen,6771
van Deursen,3309
van Diepen,2725
Dijk,3981
van Dijk,56408
van Dijke,2023
van Dijken,2589
Dijkhuizen,2912
Dijkman,3939
Dijkstra,23510
Dirks,2293
Dokter,2498
van Dommelen,2227
Donders,2159
van Dongen,10763
Donker,3481
Donkers,3711
van Dooren,3098
van Doorn,10485
Doornbos,2332
van Dorp,2580
van Dorst,2033
Douma,3705
Drent,2186
Drenth,4410
van Driel,6041
Driessen,10518
Drost,4876
van Drunen,2479
van Duijn,5252
van Duin,2082
van den Dungen,2205
van Eck,5989
van Egmond,5119
van Eijk,7335
van den Elzen,2023
Elzinga,3786
van den Ende,2415
Engel,2434
Engelen,3634
van Engelen,3695
Engels,3986
van Erp,4110
van Es,8048
van Esch,4014
van Essen,6240
Evers,10291
Everts,2048
van Ewijk,2237
Faber,6983
Feenstra,5581
Feijen,1939
Franken,7013
Fransen,4762
Franssen,4576
van Galen,2737
van Geel,2094
Geelen,2295
Geerlings,2483
Geerts,4558
van der Geest,2161
van Geffen,2586
van Gelder,4897
van Gelderen,2442
van Gemert,3032
van Gent,3268
Gerrits,7816
Gerritsen,11593
van Gerven,2231
van Gerwen,2247
van Gestel,3554
Geurts,7158
de Geus,3221
Gielen,2990
de Gier,2450
Giesen,1964
Gijsbers,2149
van Gils,5979
van Ginkel,4538
de Goede,2874
Goedhart,3362
van Gool,3104
Goossens,6610
van Gorp,2237
Gorter,2872
Govers,1996
de Graaf,21004
van de Graaf,2777
van der Graaf,3369
de Graaff,4590
de Greef,2278
Griffioen,2832
van Grinsven,2149
Groen,11670
Groenen,2078
Groenendijk,4412
Groeneveld,8714
Groeneweg,2278
Groenewegen,2648
Groenewoud,2167
Groot,9239
de Groot,36032
Gubbels,2158
Haak,2411
Haan,3170
de Haan,20011
den Haan,2416
ter Haar,3322
van Haaren,2748
de Haas,8639
Habets,2914
Hage,2121
Hageman,2529
Hagen,3804
van Hal,3713
van Ham,3139
van der Ham,2847
